id,master_mix_chain_id,master_option_id,rate
188,61,167,20
189,64,167,20
190,65,167,20
191,70,167,20
192,71,167,20
193,60,142,20
194,61,142,20
195,64,142,20
196,65,142,20
197,70,142,20
198,71,142,20
199,8,177,20
200,9,177,20
201,12,177,20
202,13,177,20
203,18,177,20
204,19,177,20
205,34,177,20
206,35,177,20
207,38,177,20
208,39,177,20
209,44,177,20
210,45,177,20
211,60,177,20
212,61,177,20
213,64,177,20
214,65,177,20
215,70,177,20
216,71,177,20
217,86,150,20
218,87,150,20
219,90,150,20
220,91,150,20
221,96,150,20
222,97,150,20
223,86,153,20
224,87,153,20
225,90,153,20
226,91,153,20
227,96,153,20
228,97,153,20
229,86,151,20
230,87,151,20
231,90,151,20
232,91,151,20
233,96,151,20
234,97,151,20
235,86,152,20
236,87,152,20
237,90,152,20
238,91,152,20
239,96,152,20
240,97,152,20
241,86,149,20
242,87,149,20
243,90,149,20
244,91,149,20
245,96,149,20
246,97,149,20
247,86,176,20
248,87,176,20
249,90,176,20
250,91,176,20
251,96,176,20
252,97,176,20
253,86,178,20
254,87,178,20
255,90,178,20
256,91,178,20
257,96,178,20
258,97,178,20
259,86,178,20
260,87,178,20
261,90,178,20
262,91,178,20
263,96,178,20
264,97,178,20
265,111,127,20
266,112,127,20
267,115,127,20
268,116,127,20
269,121,127,20
270,122,127,20
271,111,154,20
272,112,154,20
273,115,154,20
274,116,154,20
275,121,154,20
276,122,154,20
277,111,163,20
278,112,163,20
279,115,163,20
280,116,163,20
281,121,163,20
282,122,163,20
283,111,172,20
284,112,172,20
285,115,172,20
286,116,172,20
287,121,172,20
288,122,172,20
289,111,129,20
290,112,129,20
291,115,129,20
292,116,129,20
293,121,129,20
294,122,129,20
295,111,156,20
296,112,156,20
297,115,156,20
298,116,156,20
299,121,156,20
300,122,156,20
301,111,165,20
302,112,165,20
303,115,165,20
304,116,165,20
305,121,165,20
306,122,165,20
307,111,128,20
308,112,128,20
309,115,128,20
310,116,128,20
311,121,128,20
312,122,128,20
313,111,155,20
314,112,155,20
315,115,155,20
316,116,155,20
317,121,155,20
318,122,155,20
319,111,164,20
320,112,164,20
321,115,164,20
322,116,164,20
323,121,164,20
324,122,164,20
325,136,135,20
326,137,135,20
327,140,135,20
328,141,135,20
329,146,135,20
330,147,135,20
331,136,157,20
332,137,157,20
333,140,157,20
334,141,157,20
335,146,157,20
336,147,157,20
337,136,169,20
338,137,169,20
339,140,169,20
340,141,169,20
341,146,169,20
342,147,169,20
343,136,137,20
344,137,137,20
345,140,137,20
346,141,137,20
347,146,137,20
348,147,137,20
349,136,159,20
350,137,159,20
351,140,159,20
352,141,159,20
353,146,159,20
354,147,159,20
355,136,171,20
356,137,171,20
357,140,171,20
358,141,171,20
359,146,171,20
360,147,171,20
361,136,136,20
362,137,136,20
363,140,136,20
364,141,136,20
365,146,136,20
366,147,136,20
367,136,158,20
368,137,158,20
369,140,158,20
370,141,158,20
371,146,158,20
372,147,158,20
373,136,170,20
374,137,170,20
375,140,170,20
376,141,170,20
377,146,170,20
378,147,170,20
379,161,143,20
380,162,143,20
381,165,143,20
382,166,143,20
383,170,143,20
384,171,143,20
385,161,160,20
386,162,160,20
387,165,160,20
388,166,160,20
389,170,160,20
390,171,160,20
391,161,166,20
392,162,166,20
393,165,166,20
394,166,166,20
395,170,166,20
396,171,166,20
397,161,141,20
398,162,141,20
399,165,141,20
400,166,141,20
401,170,141,20
402,171,141,20
403,161,145,20
404,162,145,20
405,165,145,20
406,166,145,20
407,170,145,20
408,171,145,20
409,161,162,20
410,162,162,20
411,165,162,20
412,166,162,20
413,170,162,20
414,171,162,20
415,161,168,20
416,162,168,20
417,165,168,20
418,166,168,20
419,170,168,20
420,171,168,20
421,161,144,20
422,162,144,20
423,165,144,20
424,166,144,20
425,170,144,20
426,171,144,20
427,161,161,20
428,162,161,20
429,165,161,20
430,166,161,20
431,170,161,20
432,171,161,20
433,161,167,20
434,162,167,20
435,165,167,20
436,166,167,20
437,170,167,20
438,171,167,20
439,186,127,20
440,187,127,20
441,190,127,20
442,191,127,20
443,196,127,20
444,197,127,20
445,186,154,20
446,187,154,20
447,190,154,20
448,191,154,20
449,196,154,20
450,197,154,20
451,186,163,20
452,187,163,20
453,190,163,20
454,191,163,20
455,196,163,20
456,197,163,20
457,186,172,20
458,187,172,20
459,190,172,20
460,191,172,20
461,196,172,20
462,197,172,20
463,186,125,20
464,187,125,20
465,190,125,20
466,191,125,20
467,196,125,20
468,197,125,20
469,186,135,20
470,187,135,20
471,190,135,20
472,191,135,20
473,196,135,20
474,197,135,20
475,186,157,20
476,187,157,20
477,190,157,20
478,191,157,20
479,196,157,20
480,197,157,20
481,186,169,20
482,187,169,20
483,190,169,20
484,191,169,20
485,196,169,20
486,197,169,20
487,186,143,20
488,187,143,20
489,190,143,20
490,191,143,20
491,196,143,20
492,197,143,20
493,186,160,20
494,187,160,20
495,190,160,20
496,191,160,20
497,196,160,20
498,197,160,20
499,186,166,20
500,187,166,20
501,190,166,20
502,191,166,20
503,196,166,20
504,197,166,20
505,186,141,20
506,187,141,20
507,190,141,20
508,191,141,20
509,196,141,20
510,197,141,20
511,186,150,20
512,187,150,20
513,190,150,20
514,191,150,20
515,196,150,20
516,197,150,20
517,186,153,20
518,187,153,20
519,190,153,20
520,191,153,20
521,196,153,20
522,197,153,20
523,186,151,20
524,187,151,20
525,190,151,20
526,191,151,20
527,196,151,20
528,197,151,20
529,186,182,20
530,187,182,20
531,190,182,20
532,191,182,20
533,196,182,20
534,197,182,20
535,211,129,20
536,212,129,20
537,215,129,20
538,216,129,20
539,221,129,20
540,222,129,20
541,211,156,20
542,212,156,20
543,215,156,20
544,216,156,20
545,221,156,20
546,222,156,20
547,211,165,20
548,212,165,20
549,215,165,20
550,216,165,20
551,221,165,20
552,222,165,20
553,211,126,20
554,212,126,20
555,215,126,20
556,216,126,20
557,221,126,20
558,222,126,20
559,211,137,20
560,212,137,20
561,215,137,20
562,216,137,20
563,221,137,20
564,222,137,20
565,211,159,20
566,212,159,20
567,215,159,20
568,216,159,20
569,221,159,20
570,222,159,20
571,211,171,20
572,212,171,20
573,215,171,20
574,216,171,20
575,221,171,20
576,222,171,20
577,211,134,20
578,212,134,20
579,215,134,20
580,216,134,20
581,221,134,20
582,222,134,20
583,211,145,20
584,212,145,20
585,215,145,20
586,216,145,20
587,221,145,20
588,222,145,20
589,211,162,20
590,212,162,20
591,215,162,20
592,216,162,20
593,221,162,20
594,222,162,20
595,211,168,20
596,212,168,20
597,215,168,20
598,216,168,20
599,221,168,20
600,222,168,20
601,211,142,20
602,212,142,20
603,215,142,20
604,216,142,20
605,221,142,20
606,222,142,20
607,211,151,20
608,212,151,20
609,215,151,20
610,216,151,20
611,221,151,20
612,222,151,20
613,211,152,20
614,212,152,20
615,215,152,20
616,216,152,20
617,221,152,20
618,222,152,20
619,211,149,20
620,212,149,20
621,215,149,20
622,216,149,20
623,221,149,20
624,222,149,20
625,211,182,20
626,212,182,20
627,215,182,20
628,216,182,20
629,221,182,20
630,222,182,20
631,237,156,20
632,238,156,20
633,241,156,20
634,242,156,20
635,247,156,20
636,248,156,20
637,237,155,20
638,238,155,20
639,241,155,20
640,242,155,20
641,247,155,20
642,248,155,20
643,237,133,20
644,238,133,20
645,241,133,20
646,242,133,20
647,247,133,20
648,248,133,20
649,237,149,20
650,238,149,20
651,241,149,20
652,242,149,20
653,247,149,20
654,248,149,20
655,287,137,20
656,288,137,20
657,291,137,20
658,292,137,20
659,297,137,20
660,298,137,20
661,287,162,20
662,288,162,20
663,291,162,20
664,292,162,20
665,297,162,20
666,298,162,20
667,312,126,20
668,313,126,20
669,316,126,20
670,317,126,20
671,322,126,20
672,323,126,20
673,312,160,20
674,313,160,20
675,316,160,20
676,317,160,20
677,322,160,20
678,323,160,20
679,312,162,20
680,313,162,20
681,316,162,20
682,317,162,20
683,322,162,20
684,323,162,20
685,312,161,20
686,313,161,20
687,316,161,20
688,317,161,20
689,322,161,20
690,323,161,20
691,312,142,20
692,313,142,20
693,316,142,20
694,317,142,20
695,322,142,20
696,323,142,20
697,337,165,20
698,338,165,20
699,341,165,20
700,342,165,20
701,347,165,20
702,348,165,20
703,337,154,20
704,338,154,20
705,341,154,20
706,342,154,20
707,347,154,20
708,348,154,20
709,362,164,20
710,363,164,20
711,366,164,20
712,367,164,20
713,372,164,20
714,373,164,20
715,388,172,20
716,389,172,20
717,391,172,20
718,392,172,20
719,397,172,20
720,398,172,20
721,388,144,20
722,389,144,20
723,391,144,20
724,392,144,20
725,397,144,20
726,398,144,20
727,412,159,20
728,413,159,20
729,416,159,20
730,417,159,20
731,422,159,20
732,423,159,20
733,412,166,20
734,413,166,20
735,416,166,20
736,417,166,20
737,422,166,20
738,423,166,20
739,437,135,20
740,438,135,20
741,441,135,20
742,442,135,20
743,447,135,20
744,448,135,20
745,437,152,20
746,438,152,20
747,441,152,20
748,442,152,20
749,447,152,20
750,448,152,20
751,462,170,20
752,463,170,20
753,466,170,20
754,467,170,20
755,472,170,20
756,473,170,20
757,462,143,20
758,463,143,20
759,466,143,20
760,467,143,20
761,472,143,20
762,473,143,20
763,489,127,60
764,490,127,60
765,491,127,60
766,493,127,30
767,494,127,30
768,499,127,20
769,500,127,20
770,489,161,60
771,490,161,60
772,491,161,60
773,493,161,30
774,494,161,30
775,499,161,20
776,500,161,20
777,489,184,60
778,490,184,60
779,491,184,60
780,493,184,30
781,494,184,30
782,499,184,20
783,500,184,20
784,516,157,60
785,517,157,60
786,518,157,60
787,520,157,30
788,521,157,30
789,526,157,20
790,527,157,20
791,516,169,60
792,517,169,60
793,518,169,60
794,520,169,30
795,521,169,30
796,526,169,20
797,527,169,20
798,516,133,60
799,517,133,60
800,518,133,60
801,520,133,30
802,521,133,30
803,526,133,20
804,527,133,20
805,516,184,60
806,517,184,60
807,518,184,60
808,520,184,30
809,521,184,30
810,526,184,20
811,527,184,20
812,543,171,60
813,544,171,60
814,545,171,60
815,547,171,30
816,548,171,30
817,553,171,20
818,554,171,20
819,543,136,60
820,544,136,60
821,545,136,60
822,547,136,30
823,548,136,30
824,553,136,20
825,554,136,20
826,543,184,60
827,544,184,60
828,545,184,60
829,547,184,30
830,548,184,30
831,553,184,20
832,554,184,20
833,570,158,60
834,571,158,60
835,572,158,60
836,574,158,30
837,575,158,30
838,580,158,20
839,581,158,20
840,570,150,60
841,571,150,60
842,572,150,60
843,574,150,30
844,575,150,30
845,580,150,20
846,581,150,20
847,570,153,60
848,571,153,60
849,572,153,60
850,574,153,30
851,575,153,30
852,580,153,20
853,581,153,20
854,570,184,60
855,571,184,60
856,572,184,60
857,574,184,30
858,575,184,30
859,580,184,20
860,581,184,20
861,597,129,60
862,598,129,60
863,599,129,60
864,601,129,30
865,602,129,30
866,607,129,20
867,608,129,20
868,597,151,60
869,598,151,60
870,599,151,60
871,601,151,30
872,602,151,30
873,607,151,20
874,608,151,20
875,597,184,60
876,598,184,60
877,599,184,60
878,601,184,30
879,602,184,30
880,607,184,20
881,608,184,20
882,624,128,60
883,625,128,60
884,626,128,60
885,628,128,30
886,629,128,30
887,634,128,20
888,635,128,20
889,624,126,60
890,625,126,60
891,626,126,60
892,628,126,30
893,629,126,30
894,634,126,20
895,635,126,20
896,624,168,60
897,625,168,60
898,626,168,60
899,628,168,30
900,629,168,30
901,634,168,20
902,635,168,20
903,624,184,60
904,625,184,60
905,626,184,60
906,628,184,30
907,629,184,30
908,634,184,20
909,635,184,20
